provincia,mes,cantidadServicios,poblacionUsuaria,valorAutorizado
San Cristóbal,Marzo,117062.0,41127.0,46203272.055000015
San José de Ocoa,Abril,20264.0,7176.0,6838840.679999997
San José de Ocoa,Enero,16231.0,5743.0,5751769.629999999
San José de Ocoa,Febrero,14687.0,5821.0,5347165.909999998
San José de Ocoa,Marzo,18944.0,6505.0,5861034.939999999
San Juan,Abril,38468.0,12359.0,19871747.77999999
San Juan,Enero,37551.0,11951.0,17378063.910000004
San Juan,Febrero,35729.0,11478.0,16675612.595000003
San Juan,Marzo,39899.0,12473.0,19010547.87999999
San Pedro de Macorís,Abril,37341.0,12502.0,15757510.790000003
San Pedro de Macorís,Enero,36414.0,11240.0,17552452.4
San Pedro de Macorís,Febrero,36722.0,11747.0,17180457.409999996
San Pedro de Macorís,Marzo,37930.0,12157.0,18108789.12
Santiago,Abril,92888.0,31661.0,43168474.73
Santiago,Enero,87776.0,28367.0,38366988.230000004
Santiago,Febrero,88501.0,29322.0,39123619.45000001
Santiago,Marzo,92735.0,30904.0,42878612.149999976
Santiago Rodríguez,Abril,5352.0,1822.0,3265451.5300000003
Santiago Rodríguez,Enero,6426.0,1764.0,2877987.8299999996
Santiago Rodríguez,Febrero,5811.0,1821.0,4017687.49
Santiago Rodríguez,Marzo,5573.0,1919.0,3852214.1
Santo Domingo,Abril,536722.0,165211.0,201162631.91500008
Santo Domingo,Enero,517455.0,150257.0,202507558.84499982
Santo Domingo,Febrero,498167.0,149811.0,199155063.05499998
Santo Domingo,Marzo,527308.0,158720.0,201669041.42499983
Sánchez Ramírez,Abril,30452.0,10104.0,11751714.280000001
Sánchez Ramírez,Enero,27698.0,8979.0,10861417.11
Sánchez Ramírez,Febrero,27371.0,8949.0,12058744.82
Sánchez Ramírez,Marzo,29239.0,9642.0,10738145.909999998
Valverde,Abril,15885.0,4714.0,9513426.31
Valverde,Enero,15728.0,4744.0,7459220.33
Valverde,Febrero,14299.0,4353.0,7443536.860000002
Valverde,Marzo,16235.0,4904.0,8327032.529999999
